order_p_0,order_r_0,order_d_0,order_p_1,order_r_1,order_d_1,t_relaxation,propagated_info,v,ℓ,R,K,δ,s,n,label
1.0,1.6054358675798852e-10,1.1102230246251566e-17,0.9999999999999999,2.3499409362859324e-11,-6.053674228567729e-12,0.5,1.0,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
0.9999999999999999,1.6005300418342472e-10,7.771561172376095e-17,1.0,2.3689837591600593e-11,-6.102723881795668e-12,2.500000000000001,0.9999999999999999,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.684348935755394e-10,1.6653345369377347e-17,2.4980018054066023e-17,1.0,2.3394010340016537e-11,6.02655703119126e-12,2.600000000000001,1.0,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.0,1.6099222788223954e-10,-2.7755575615628914e-17,0.9999999999999998,2.343182731179283e-11,-6.03627148265673e-12,6.699999999999992,0.9999999999999999,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.0,1.612334210587818e-10,3.8857805861880476e-17,0.9999999999999998,2.352005673555979e-11,-6.058992196855684e-12,1.3,0.9999999999999999,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.6896939211532523e-10,5.551115123125783e-18,1.6653345369377347e-17,1.0,2.3615305544399946e-11,-6.083539227930146e-12,5.299999999999997,0.9999999999999999,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.688100897100824e-10,2.4980018054066023e-17,2.2204460492503132e-17,0.9999999999999998,2.3471842525157882e-11,-6.046568801210128e-12,0.1,1.0,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.0,1.6020251236703586e-10,3.8857805861880476e-17,0.9999999999999998,2.3524945880204484e-11,6.060257851103756e-12,5.099999999999998,1.0,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.6899067698697837e-10,1.0,-1.5879958576465571e-18,0.9999999999999999,2.3719781694353513e-11,-6.1104454829319366e-12,2.700000000000001,1.0,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.6913339093871984e-10,1.0,-7.316974954319156e-18,0.9999999999999999,2.3719781694353513e-11,-6.1104454829319366e-12,2.700000000000001,1.0,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
2.0014830212433607e-17,1.9839866416404562e-10,1.6653345369377347e-17,0.9999999999999999,2.3764751277965957e-11,-6.122025109078777e-12,9.299999999999983,0.9999999999999999,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
